55.0, -16.0, -50.0, -3.0
55.0, 19.0, 50.0, 4.0
55.0, 110.0, -50.0, -24.0
55.0, -101.0, -50.0, 3.0
55.0, 125.0, 50.0, 16.0
55.0, 134.0, -50.0, -12.0
55.0, 186.0, 50.0, -12.0
55.0, -90.0, 50.0, 14.0
55.0, -152.0, 50.0, 3.0
55.0, -202.0, -50.0, 13.0
55.0, 55.0, 50.0, 29.0
55.0, 60.0, -50.0, -3.0
55.0, -16.0, 50.0, 20.0
55.0, -19.0, -50.0, 3.0
55.0, 186.0, -50.0, 7.0
55.0, 134.0, 50.0, -3.0
-90.0, 110.0, -50.0, -6.0
-90.0, -16.0, 50.0, 7.0
-90.0, -18.0, -50.0, -4.0
-90.0, 106.0, 50.0, -7.0
-90.0, -97.0, 50.0, -2.0
-90.0, -101.0, 50.0, 8.0
-90.0, 125.0, -50.0, -24.0
-90.0, 186.0, 50.0, -23.0
-90.0, -101.0, -50.0, -13.0
-90.0, 110.0, 50.0, -4.0
-90.0, -49.0, -50.0, 3.0
-90.0, -11.0, -50.0, -1.0
-90.0, -144.0, 50.0, 1.0
-90.0, 134.0, -50.0, -10.0
-90.0, 125.0, 50.0, -1.0
-32.0, 207.0, -50.0, -22.0
-32.0, -98.0, 50.0, 8.0
-32.0, -152.0, 50.0, 21.0
-32.0, -49.0, -50.0, -3.0
-32.0, -18.0, -50.0, 3.0
-32.0, -11.0, 50.0, -2.0
-32.0, 9.0, -50.0, -3.0
-32.0, -98.0, -50.0, -6.0
-32.0, 125.0, 50.0, 3.0
-32.0, -33.0, -50.0, -3.0
-32.0, -97.0, 50.0, 16.0
-32.0, 9.0, 50.0, 2.0
-32.0, -89.0, 50.0, 3.0
-32.0, 19.0, -50.0, 2.0
-32.0, 106.0, 50.0, -34.0
-32.0, 125.0, -50.0, -17.0
-49.0, 106.0, 50.0, -2.0
-49.0, 125.0, 50.0, 1.0
-49.0, -97.0, -50.0, -7.0
-49.0, -98.0, -50.0, -13.0
-49.0, 125.0, 50.0, -3.0
-49.0, -18.0, -50.0, 2.0
-49.0, 110.0, -50.0, -18.0
-49.0, 125.0, 50.0, -10.0
-49.0, 9.0, -50.0, -13.0
-49.0, -97.0, 50.0, 23.0
-49.0, -101.0, -50.0, -21.0
-49.0, -202.0, -50.0, 7.0
-49.0, -18.0, 50.0, 19.0
-49.0, 106.0, -50.0, -14.0
125.0, 186.0, 50.0, -5.0
125.0, -89.0, 50.0, 38.0
125.0, -89.0, -50.0, 25.0
125.0, -16.0, 50.0, 15.0
125.0, -101.0, -50.0, 18.0
125.0, 134.0, -50.0, 1.0
125.0, 106.0, 50.0, 4.0
125.0, -18.0, -50.0, 4.0
125.0, -101.0, 50.0, 21.0
125.0, 110.0, -50.0, -18.0
125.0, -97.0, 50.0, 10.0
125.0, 110.0, 50.0, 4.0
-33.0, 125.0, 50.0, 3.0
-33.0, -89.0, 50.0, 1.0
-33.0, 9.0, -50.0, 17.0
-33.0, 19.0, -50.0, -8.0
-33.0, 110.0, 50.0, -8.0
-33.0, -89.0, 50.0, 6.0
-33.0, -144.0, -50.0, -4.0
-33.0, -11.0, -50.0, 7.0
-33.0, 19.0, 50.0, -2.0
-33.0, -16.0, -50.0, -21.0
-33.0, -89.0, -50.0, -3.0
-33.0, 7.0, 50.0, 17.0
-33.0, -98.0, -50.0, 7.0
-33.0, 60.0, -50.0, -43.0
-33.0, -11.0, 50.0, -5.0
125.0, 9.0, 50.0, 10.0
125.0, -11.0, 50.0, 4.0
125.0, -98.0, -50.0, -11.0
125.0, 106.0, 50.0, 7.0
125.0, 19.0, -50.0, 3.0
125.0, -97.0, 50.0, 40.0
125.0, -18.0, -50.0, -2.0
125.0, -98.0, 50.0, 21.0
125.0, 48.0, -50.0, 7.0
125.0, 55.0, 50.0, 14.0
125.0, 9.0, -50.0, -10.0
125.0, -89.0, 50.0, 28.0
-98.0, -18.0, 50.0, -13.0
-98.0, -89.0, -50.0, 4.0
-98.0, 19.0, 50.0, -14.0
-98.0, -11.0, -50.0, -18.0
-98.0, 125.0, -50.0, -6.0
-98.0, 9.0, 50.0, -16.0
-98.0, -202.0, 50.0, -4.0
-98.0, 106.0, -50.0, -1.0
-98.0, -97.0, -50.0, -11.0
-98.0, 9.0, -50.0, -13.0
7.0, -89.0, 50.0, 5.0
7.0, 125.0, -50.0, -1.0
7.0, -16.0, 50.0, 24.0
7.0, 48.0, -50.0, -9.0
7.0, 207.0, 50.0, -3.0
7.0, -144.0, 50.0, 15.0
7.0, 60.0, -50.0, 14.0
7.0, 19.0, -50.0, -1.0
7.0, -89.0, 50.0, 4.0
7.0, 110.0, -50.0, -32.0
7.0, -89.0, -50.0, 3.0
7.0, -131.0, 50.0, 7.0
7.0, -11.0, 50.0, -1.0
7.0, -144.0, -50.0, 1.0
7.0, 60.0, 50.0, -2.0
207.0, -89.0, -50.0, 18.0
207.0, -131.0, 50.0, 16.0
207.0, 60.0, 50.0, 32.0
207.0, -202.0, 50.0, 16.0
207.0, 55.0, -50.0, -6.0
207.0, -144.0, 50.0, 24.0
207.0, 48.0, -50.0, 8.0
207.0, 125.0, 50.0, 10.0
207.0, 106.0, -50.0, -3.0
207.0, 125.0, -50.0, 7.0
207.0, -19.0, 50.0, 23.0
207.0, 48.0, 50.0, -7.0
207.0, -152.0, -50.0, 24.0
207.0, -131.0, -50.0, 20.0
19.0, -89.0, 50.0, 10.0
19.0, -144.0, -50.0, 7.0
19.0, -11.0, -50.0, -13.0
19.0, 9.0, -50.0, -10.0
19.0, -101.0, 50.0, -3.0
19.0, -11.0, 50.0, 30.0
19.0, 60.0, -50.0, -14.0
19.0, -89.0, 50.0, -3.0
19.0, -89.0, -50.0, -1.0
-11.0, 134.0, -50.0, -6.0
-11.0, -144.0, 50.0, 18.0
-11.0, -89.0, -50.0, 13.0
-11.0, 60.0, 50.0, -14.0
-11.0, -89.0, -50.0, -14.0
-11.0, -89.0, 50.0, 0.0
-11.0, 9.0, 50.0, -7.0
-152.0, 48.0, -50.0, 3.0
-152.0, -19.0, 50.0, 6.0
-152.0, 186.0, 50.0, -3.0
-152.0, 134.0, -50.0, -31.0
-152.0, -16.0, 50.0, -25.0
-152.0, 125.0, -50.0, -1.0
-152.0, 55.0, 50.0, -3.0
-152.0, -131.0, 50.0, -5.0
-152.0, -202.0, 50.0, -7.0
-152.0, 106.0, 50.0, -3.0
-152.0, -202.0, -50.0, -7.0
-152.0, 55.0, -50.0, -22.0
-152.0, -19.0, -50.0, -6.0
55.0, -131.0, 50.0, 4.0
55.0, -18.0, 50.0, -4.0
55.0, 134.0, -50.0, 20.0
